form subj chunk f0med f0sd f0SAQ f0min f0max sdf0peak f0peakwidth f0peak_rate sdtf0peak df0posmean df0negmean df0sdpos df0sdneg emph cvint slLTASmed slLTAShigh  hnr SPI shimmer jitter 
NProf J c29 199 18.29 10.94 168 243 17.0 13.5 1.20 0.39 2.66 -2.34 3.42 2.38 2.8 17 -18.9 -24.7 16.0 10.7 7.0 1.6 
NProf J c30 191 23.64 14.36 166 265 27.9 7.5 1.08 0.47 3.36 -2.57 3.22 2.35 2.8 13 -16.8 -27.7 16.4 11.5 7.7 1.6 
NProf Z c1 198 38.15 32.29 176 299 58.9 8.7 1.62 0.24 5.80 -7.06 4.44 6.13 3.4 15 -11.1 -27.8 14.1 20.3 7.6 1.9 
NProf Z c2 225 25.94 19.63 159 259 22.9 4.4 2.14 NA 2.46 -4.92 1.69 5.72 4.8 18 -11.9 -29.2 14.1 21.2 7.7 2.3 
NProf Z c3 203 25.14 18.92 175 263 34.1 10.1 1.20 0.32 3.89 -3.11 4.28 2.76 2.4 18 -15.3 -28.3 14.8 12.5 8.0 2.2 
NProf Z c4 246 40.88 24.23 162 303 33.6 6.9 2.12 0.19 9.03 -4.22 11.06 4.23 4.1 21 -13.2 -27.9 15.5 18.6 6.7 1.8 
NProf Z c5 212 36.67 22.26 182 314 46.8 8.5 2.05 0.10 5.92 -6.79 3.64 5.00 3.5 12 -15.1 -27.0 13.0 17.4 7.4 2.3 
NProf Z c6 199 34.51 20.93 173 290 33.9 11.3 1.40 0.83 6.10 -4.15 4.91 5.85 3.4 18 -14.1 -29.6 13.3 13.1 8.8 2.4 
NProf Z c7 217 32.61 12.13 167 318 47.3 3.8 1.50 0.14 2.76 -3.90 2.15 4.37 4.5 24 -11.9 -28.9 15.8 19.1 7.3 1.7 
NProf Z c8 226 29.51 20.72 162 287 35.2 7.1 1.59 0.31 3.96 -2.98 3.62 2.94 4.0 15 -12.6 -28.2 14.1 15.3 9.6 2.1 
NProf Z c9 221 21.21 7.75 166 283 36.6 11.6 1.91 0.16 4.11 -3.13 3.74 4.36 5.1 23 -11.3 -27.0 13.4 8.4 8.0 2.4 
NProf Z c10 224 29.40 19.02 157 287 45.3 7.8 1.55 0.10 3.56 -3.82 3.15 4.43 3.9 16 -12.9 -28.2 14.2 14.6 7.5 2.3 
NProf Z c11 208 22.98 13.92 160 291 31.4 4.5 1.70 0.18 2.72 -2.64 1.84 3.18 3.5 22 -14.7 -29.4 14.5 15.5 8.1 2.4 
NProf Z c12 204 26.82 17.66 171 277 35.4 9.9 1.49 0.73 4.61 -3.25 3.52 2.54 3.0 15 -12.4 -30.4 15.6 19.2 7.2 2.0 
NProf Z c13 213 22.28 13.25 162 260 19.4 10.3 1.71 0.26 4.77 -3.98 4.61 4.46 3.6 20 -14.4 -29.3 13.7 16.6 8.6 2.4 
NProf Z c14 216 28.61 14.54 157 285 35.4 8.5 1.39 0.43 6.54 -3.89 4.90 4.22 3.7 16 -14.3 -30.2 14.3 18.1 7.8 2.1 
NProf Z c15 203 23.71 19.39 166 253 27.5 5.9 1.65 0.17 2.95 -2.35 1.95 2.22 3.6 18 -14.1 -28.6 14.6 16.3 8.1 2.2 
NProf Z c16 197 24.75 20.39 168 250 36.3 9.1 1.50 0.48 5.10 -1.93 3.30 1.86 3.6 20 -15.9 -28.5 13.4 16.6 9.2 2.1 
NProf Z c17 216 30.01 15.89 159 301 33.7 6.1 1.19 0.14 4.82 -3.16 4.66 3.98 3.7 23 -16.4 -30.2 15.1 17.2 7.9 2.1 
NProf Z c18 206 21.07 13.15 157 254 17.4 15.6 1.36 0.25 4.89 -4.07 3.15 4.00 3.8 18 -11.9 -29.4 13.4 19.3 7.6 2.3 
NProf Z c19 191 12.49 11.39 174 217 12.8 13.0 1.86 0.26 3.22 -2.08 2.99 1.96 4.3 21 -13.0 -28.1 14.5 18.3 8.4 2.4 
NProf Z c20 228 26.20 17.26 167 292 30.8 12.2 1.86 0.27 5.72 -2.88 7.32 3.54 2.9 18 -12.5 -28.5 15.1 15.4 8.1 2.3 
NProf Z c21 215 25.69 9.80 170 304 44.0 6.5 1.76 0.17 3.32 -4.05 2.69 5.55 3.7 21 -15.2 -29.5 13.6 17.5 8.5 2.1 
