audiofile chunk f0med f0sd f0SAQ f0min f0max sdf0peak f0peakwidth f0peak_rate sdtf0peak df0posmean df0negmean df0sdpos df0sdneg emph cvint slLTASmed slLTAShigh  hnr SPI shimmer jitter 
Naves t2 172 29.82 20.21 109 223 39.6 10.3 1.47 0.43 5.30 -3.81 2.91 4.39 1.3 18 -19.1 -35.2 9.5 12.5 14.4 2.3 
Naves t3 164 26.19 24.56 119 207 25.9 13.1 1.06 0.36 3.68 -4.74 3.04 4.41 0.9 16 -21.0 -37.1 8.7 14.6 15.7 2.6 
Naves t4 192 33.79 33.49 123 233 58.7 7.7 3.72 NA 9.45 -2.62 4.99 5.01 1.6 18 -20.9 -30.9 9.1 9.6 15.4 2.8 
Naves t5 186 32.86 25.65 117 243 46.0 23.8 1.86 0.24 11.66 -6.31 6.36 6.67 0.5 17 -23.4 -33.3 7.8 11.8 15.8 4.1 
Naves t6 203 39.83 27.71 110 279 36.2 12.2 1.40 0.47 8.31 -4.82 7.80 4.80 0.6 18 -21.9 -37.4 10.4 10.8 10.8 2.3 
Naves t7 194 27.98 22.23 149 250 25.7 14.3 1.62 0.24 6.12 -3.74 3.57 4.09 1.3 19 -19.1 -34.4 9.2 10.8 13.1 2.6 
Naves t8 110 30.28 18.66 76 179 59.3 6.2 3.08 NA 11.48 -3.54 6.57 3.82 1.1 15 -20.1 -34.5 4.6 15.4 18.3 3.5 
Naves t9 161 30.90 25.52 105 224 40.0 24.0 1.76 0.18 11.01 -6.53 6.46 5.71 0.7 18 -20.0 -37.0 7.0 11.0 16.4 3.6 
Naves t10 134 42.93 32.36 76 233 45.9 24.8 1.20 0.47 9.13 -7.83 6.18 6.01 0.7 14 -21.8 -33.8 5.1 13.8 18.5 4.4 
Neufchatel-en-Saosnois t1 132 33.66 25.03 99 214 37.9 11.6 1.42 0.26 6.34 -3.19 5.47 3.62 1.1 24 -21.8 -28.8 9.9 15.2 12.6 3.3 
Neufchatel-en-Saosnois t2 135 27.09 22.11 80 185 30.0 12.2 1.93 0.22 6.75 -3.08 6.25 3.91 0.9 23 -21.2 -35.0 8.4 14.8 14.4 3.9 
Neufchatel-en-Saosnois t3 133 37.88 33.03 89 227 39.1 7.6 1.38 0.30 4.35 -4.83 2.85 3.39 1.2 13 -21.2 -25.9 11.0 15.3 10.9 3.0 
