ling suj estilo sex repet f0med f0sd f0sk df0mean df0sd df0sk emph f0r 
FR LI ST MA 3 84 0.68 -0.11 -0.06 0.75 -1.80 0.02 0.91 
FR LI ST MA 4 84 0.93 0.35 -0.04 1.14 -1.15 0.03 0.88 
FR NI ST MA 1 85 1.19 -0.07 -0.004 1.13 0.94 0.04 0.62 
FR NI ST MA 2 85 0.86 -0.08 -0.010 0.75 0.25 0.06 0.46 
FR NI ST MA 3 84 0.85 0.24 -0.01 0.88 -0.08 0.04 0.63 
FR NI ST MA 4 84 0.60 0.15 -0.002 0.62 -2.13 0.04 0.61 
FR OL ST MA 1 84 0.97 0.38 -0.02 0.69 -1.53 0.03 0.43 
FR OL ST MA 2 85 1.11 -0.10 0.02 0.67 3.70 0.02 0.20 
FR OL ST MA 3 84 0.79 0.29 -0.01 0.53 0.67 0.01 0.56 
FR OL ST MA 4 84 4.85 0.23 0.98 2.70 2.42 0.01 0.38 
PE AM RE FE 1 91 2.03 0.12 -0.21 2.90 -0.47 0.4 0.75 
PE AM RE FE 2 91 1.49 -0.20 -0.20 2.60 -0.23 0.3 0.85 
PE AM RE FE 3 90 1.48 0.10 -0.21 2.56 -0.30 0.2 0.81 
PE AM RE FE 4 90 1.43 0.10 -0.06 2.32 -0.32 0.4 0.88 
PE AR RE FE 1 92 1.30 -0.008 -0.17 2.91 0.04 0.4 0.85 
PE AR RE FE 2 92 1.23 0.006 -0.06 2.38 0.10 0.6 1.07 
PE AR RE FE 3 92 1.52 -0.11 -0.0003 4.71 3.19 0.4 0.90 
PE AR RE FE 4 91 1.56 -0.04 -0.15 2.85 -0.69 0.5 0.95 
PE AS RE FE 1 95 2.31 -0.02 -0.14 5.87 -0.13 0.5 0.74 
PE AS RE FE 2 94 1.76 0.15 -0.23 5.51 0.48 0.6 0.89 
PE AS RE FE 3 95 1.97 -0.07 -0.09 5.56 -0.37 0.6 0.99 
PE AS RE FE 4 94 1.64 0.15 -0.12 4.41 -0.60 0.6 1.06 
PE CO RE FE 1 92 2.55 0.10 -0.03 4.39 -0.008 0.6 0.85 
PE CO RE FE 2 92 2.19 0.006 -0.08 4.59 0.35 0.5 1.02 
PE CO RE FE 3 92 2.55 0.12 -0.46 3.81 -0.59 0.6 0.89 
PE CO RE FE 4 92 2.78 -0.10 -0.13 4.51 -0.15 0.5 0.79 
PE RV RE FE 1 90 2.35 0.16 -0.10 4.47 -0.20 1.0 0.90 
PE RV RE FE 2 91 1.85 -0.02 -0.23 4.59 -0.08 1.0 1.04 
PE RV RE FE 3 91 2.64 0.14 -0.10 5.18 -0.51 1.0 0.88 
PE RV RE FE 4 91 2.61 0.14 -0.29 4.82 -0.43 0.7 0.93 
PE CP RE MA 1 84 7.38 0.70 0.83 7.94 2.07 0.4 0.39 
PE CP RE MA 2 84 3.58 0.56 0.03 5.42 1.28 0.4 0.44 
PE CP RE MA 3 86 3.94 0.37 -0.01 6.33 1.38 0.4 0.31 
PE CP RE MA 4 86 5.19 0.40 0.40 9.55 0.62 0.3 0.58 
PE MR RE MA 1 86 1.21 0.10 0.05 2.01 0.78 0.5 0.98 
PE MR RE MA 2 86 1.74 0.17 -0.06 3.32 0.58 0.4 0.87 
PE MR RE MA 3 86 1.62 0.25 -0.17 4.85 -1.27 0.3 0.89 
PE MR RE MA 4 84 1.25 0.29 -0.10 1.41 -0.25 0.4 0.91 
PE NA RE MA 1 86 2.73 0.14 -0.05 7.64 0.96 1.9 0.71 
PE NA RE MA 2 86 2.62 0.22 0.05 5.95 1.31 1.7 0.78 
PE NA RE MA 3 86 2.52 0.21 -0.08 5.33 1.97 1.9 0.68 
PE NA RE MA 4 87 2.01 0.14 -0.004 5.59 -0.19 1.4 0.68 
PE PF RE MA 1 84 0.86 0.11 -0.01 0.94 -1.23 0.3 0.93 
PE PF RE MA 2 85 0.72 0.09 0.03 0.81 -0.73 0.2 0.82 
PE PF RE MA 3 85 0.77 -0.38 0.04 0.67 0.13 0.2 0.83 
PE PF RE MA 4 84 0.93 0.22 0.04 0.95 -1.07 0.2 0.62 
PE SS RE MA 1 85 2.18 0.38 -0.02 2.53 1.50 1.3 0.55 
PE SS RE MA 2 85 4.53 0.33 -0.04 4.69 -0.76 1.4 0.39 
PE SS RE MA 3 86 3.56 0.21 1.01 6.25 1.75 1.1 0.46 
PE SS RE MA 4 85 3.71 0.35 -0.07 6.64 0.05 0.8 0.76 
